,statement,source,veracity
12741,"""House Speaker Nancy Pelosi said this  week that the Democrats have to pass their terrible health care bill so  that the American people can actually find out what's in it.""",Republican Party of Texas,1
12742,"Several times, Obama ""has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .""",Mitt Romney,0
12743,"Sen. Kay Bailey Hutchison's  ""concession speech came with less than 20 percent of the precincts  having been counted.”",Linda Curtis,1
12744,"""Bill White ... supports the ‘ObamaCare’ socialized medicine plan, as well as ‘Cap and Trade’ legislation that would kill thousands of Texas jobs.""",Cathie Adams,0
12745,“Bill White ...offered sanctuary to illegal immigrants.”,Cathie Adams,0
12746,"""Bill White spent his city billions of dollars into debt (and) saw crime rates soar while he backed gun control.""",Cathie Adams,0
12747,Says the Texas State Board of Education is considering eliminating references to Christmas and the Constitution in textbooks.,Gretchen Carlson,0
12748,"The Obama administration ""spent more money on the Cash for Clunkers program than the space program.""",Marco Rubio,0
12750,"""House  Appropriations Chair David Obey's partial earmark ban wouldn't apply to 90% of  earmarks.""",Jim DeMint,1
12751,"""Health insurance companies' costs are only 4 percent of all health care spending.""",America's Health Insurance Plans,1
12752,"""We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.""",Dianne Feinstein,1
12753,"""Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.""",Americans United for Change,1
12754,"""Obama has proposed a 1.4% pay increase for active duty military in 2011. This is THE LOWEST SINCE 1973 ... A LOWER PAY INCREASE THAN WELFARE RECIPIENTS!!!""",Chain email,0
12755,"Charges on the Republican Party of Florida credit card were made with ""my money.""",Marco Rubio,0
12756,"In the Senate version of the health reform bill, ""Every enrollee in the Office of Personnel Management enrolled plan, every enrollee has to pay a minimum of $1 per month towards reproductive rights, which includes abortion.""",Bart Stupak,0
12757,"""When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.""",George Will,1
12758,"""If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.""",George LeMieux,1
12759,"""Nearly all of the top 50 prescribers of oxycodone in the United States are in Florida.""",Jeff Kottkamp,1
12760,"The Senate version of the health care reform bill ""allows taxpayer money to pay directly for abortion in federal community health centers funded in the bill.""",Daniel Lipinski,0
12761,"""Todd Staples recently tried to woo his supporters and right-wing base by suggesting the Agriculture Commission cut programs intended to feed the elderly and disabled, many of whom are veterans.""",Hank Gilbert,0
12762,"George W. Bush was ""the least popular president in modern history.""",Dana Milbank,0
12763,"""The Florida Legislature raised taxes and fees by almost $2 billion"" in the 2009 session.",Charlie Justice,1
12764,"""Florida's new fingerprint identification system is improving our rate of solving cold cases by 300 percent.""",Charlie Crist,0
12766,"""When Social Security started, age expectancy for the average man was 58. It was 62 -- 62 for women.""",Glenn Beck,1
12768,"""There's almost 1 million Texans who are unemployed and that's an all-time record number in our state.""",Bill White,1
12769,"""Texas has installed more wind power than any other state, and all but four countries.""",Rick Perry,1
12770,"""Nobody has been talking about it (Medicaid fraud), focused on it, or paying attention to it.""",Alex Sink,0
12771,"Says Gov. Charlie Crist has called him ""a rock star.""",Dave Aronberg,1
12773,"Reconciliation was used ""for tax cuts for the rich twice under Bush.""",Alan Grayson,1
12774,"""President Obama's bill won't bring down the costs (of health care) for average Americans -- or really for very few Americans, if any.""",Michele Bachmann,0
12775,"""Debt has almost doubled in Austin under Gov. Perry.""",Bill White,1
12776,"""Congressman McCollum voted to dismantle Social Security.""",Florida Democratic Party,0
12777,"""Washington cannot hide from the fact that Congress hiked the national debt ceiling to $14.3 trillion. They cannot hide from the fact . . . that the budget that they’re going forward with has more than a $5 trillion in debt in it over the next five years.""",Rick Perry,1
12778,"""Our graduation rate is the highest it's ever been.""",Charlie Crist,1
12779,"Cover Florida ""is available to any Floridian, offering basic coverage for about $150 a month, instead of the typical $600 a month.""",Charlie Crist,0
12780,"""The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner.""",Mitt Romney,1
12781,"The Democrats' health care bills would end ""the denial of ... coverage to those who have a pre-existing condition,"" while the Republican bill would not.",Nancy  Pelosi,1
12782,"Says she’s ""tried over 100 jury cases in Travis County courts.""",Mindy Montford,0
12783,"""We worked together to enact ... the largest tax cut in Florida history.""",Charlie Crist,0
12784,"""Due to ... tax cuts and lower (property) values, 2009 property taxes were almost $3 billion below 2007 property taxes.""",Charlie Crist,1
12785,"""We are now seeing a decrease in violent crime.""",Charlie Crist,1
12786,"""He (Obama) has done several things well. Most of those things are places where  he changed his view from where he had during the campaign. So, for instance, he's  left our troops in Iraq and they're being more successful there. He boosted our  effort in Afghanistan, which is the right course to take. He did not close  Guantanamo, thank heavens.""",Mitt Romney,0
12787,"In 2001, former Federal Reserve chairman Alan Greenspan ""justified increasing spending and cutting taxes, saying that we didn't really need to pay down the debt.""",Hillary Clinton,0
12788,"U.S. Rep. Alan Grayson ""compared a former vice president to a vampire ... and compared America's health care system to the Holocaust.""",Republican Party of Florida,1
12789,"Florida ""has the second-highest foreclosure rate in the nation.""",Kendrick Meek,1
12791,"""The Republicans have repeatedly said that they agree with 80 percent of what's in our bill.""",Debbie Wasserman Schultz,1
12793,"Gov. Rick Perry ""spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month.""",Kay Bailey Hutchison,1
12794,"""I left the city with $43 million in the bank.""",Maurice Ferre,0
12795,"Challenger Tim Tuggey ""is a lobbyist who donated over $41,000 to Democrats who support abortion and same-sex marriage.""",Ken Mercer,0
12796,"""Her opponent: zero times a judge, zero rulings, zero experience on the bench.""",Jan Patterson,1
12797,"""I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.""",Charles Rangel,0
12799,"Says Paul Workman ""voted in the Democrat primary, supporting Democrats with his vote.""",Holly  Turner,1
12801,"""Speaker Rubio supported gun restrictions that included background checks and waiting periods.""",Charlie Crist,1
12803,"The CBO found that the House Republican health care plan would lower premiums by ""up to about 10 percent"" and, for purchasers in the individual market, ""those cost savings could even be higher.""",Charles Boustany,1
12805,"""Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.""",Harry Reid,1
12808,"The Democratic health care plan is a ""government takeover of our health programs.""",C.W. Bill Young,0
12810,"Bill McCollum voted four times to raise his own pay, by a total of $51,000, and earns a congressional pension worth more than $75,000 a year.",Florida Democratic Party,1
12811,"""Bill McCollum said tax cuts don't work.""",Alex Sink,0
12812,"""As bank president, Alex Sink eliminated thousands of Florida jobs while taking over $8 million in salary and bonuses.""",Republican Governors Association,1
12814,"""One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).""",Jon Kyl,1
12815,"""We were promised (the stimulus) would provide 'green jobs' for Americans, but 80% of the $2 billion they spent on alternative energy went to purchase wind turbines built in China!""",Sarah Palin,0
12816,"""Holly Turner... still takes her homestead (property tax) exemption in Fort Worth.""",Paul Workman,0
12817,"""We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.""",Harry Reid,0
12818,"""Mayor White has major stake in Barnett Shale production company.""",Farouk Shami,0
12819,"Says she ""stopped Capital Metro from raising fares for senior and disabled citizens.""",Margaret Gomez,1
12820,"“In this judicial race, special  interest groups have demanded  money from me, in exchange for  endorsement and support.”",Eve Schatelowitz Alcantar,0
12822,"""$100,000 in  stimulus funds (were) used for a Martini Bar and Brazilian Steakhouse.""",Mitch McConnell,1
12824,"""The current (agriculture) commissioner allowed tainted beef to be sent to school cafeterias.""",Kinky Friedman,0
12825,"In the stimulus, ""$15 million dollars  went to 'build a bigger, better airport' for the town of Ouzinkie, Alaska,  population 165.""",John Boehner,1
12826,"The stimulus bill ""didn’t create one new job.""",Scott Brown,0
12827,"""My opponent... lost 43,000 jobs in Houston since he took over; we are losing jobs.""",Farouk Shami,0
12828,"""As Houston's mayor, I helped our area lead the nation in job growth.""",Bill White,0
12830,"""In the three months before the act took  effect, America lost 750,000 jobs a month. In the last three months, we've lost  about 35,000 jobs a month.""",Joe Biden,1
12831,"During ""the recent global warming summit in Copenhagen, Nancy Pelosi and others stayed at a five-star hotel on a trip costing nearly $10,000 per person.""",David Dewhurst,1
12832,"Says state Sen. Steve Ogden was the ""driving force behind business income tax hurting small business, crafted the Robin Hood school finance scheme making property taxes skyrocket, wrote a budget that will result in a $14 billion deficit and voted against"" gun freedoms.",Ben Bius,0
12833,"""There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.""",Joe Biden,1
12836,Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency.,Rick Perry,0
12837,"""We have killed lots of innocent people in the state of Texas.""",Farouk Shami,0
12838,"""We have billions in surplus.""",Rick Perry,0
12839,The Bush administration prosecuted 190 suspected terrorists in federal courts.,Barack Obama,0
12841,"Despite touting the economic stimulus as a great triumph, ""The very same report, however, notes that unemployment will average 10 percent for the rest of the year.""",John Boehner,1
12842,"""Taxpayers even footed the bill for Perry’s trip to a bachelor party in Las Vegas.""",Kay Bailey Hutchison,0
12843,"Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending, while the percentage for Barack Obama is not projected to drop below 22.8 percent.",Glenn Beck,0
12844,"On the new dollar coins, ""'In God We Trust' is gone!""",Chain email,0
12845,"""A Democratic poll operation shows that Fox News is the most trusted news operation in the country.""",Bill O'Reilly,1
12846,One-third of the economic stimulus package was tax cuts.,Jon Stewart,1
12849,"Vice President Joe Biden's meeting ""with the transparency and accountability board . . . was closed to the public.""",Sarah Palin,0
12850,"Houston is ""the third-most toxic city in the United States of America.""",Farouk Shami,1
12852,"""Barack Obama had 150 days in the U.S. Senate where he was able to vote quite often 'present.' """,Sarah Palin,0
12855,Says his executive order requiring young girls to be vaccinated against HPV wasn't mandatory.,Rick Perry,0
12856,"""The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.'""",Judd Gregg,1
12857,"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings.""",Barack Obama,1
12858,"""The money supply has doubled in the last year.""",Ron Paul,0
12859,"""Our (Texas) graduation rate ranks 43rd out of 50 states.""",Bill White,1
12860,"""For the hour after the (Jan. 14) debate, 'Debra Medina' was the No. 1 search on Google and for the remainder of that night No. 3.""",Debra Medina,0
12861,"""We're also cutting a Forest Service economic development program that strayed so far from any mission that it funded a music festival.""",Barack Obama,0
12863,"The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing.""",Paul Krugman,1
12864,Uses headlines to portray Gov. Rick Perry as beholden to special interests.,Kay Bailey Hutchison,1
12865,"Bill White ""is discriminating. He's taking jobs from African Americans and giving them to his friends.""",Farouk Shami,0
12866,"""Federal employees are making twice as much as their private counterparts.""",Scott Brown,0
12868,"""We cut property taxes by one-third.""",Rick Perry,0
12869,"""We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.""",David Axelrod,1
12873,"""The State of Texas does not even use the E-Verify system to determine if someone is legally in our country when they apply for a job.""",Kay Bailey Hutchison,1
12874,"""Bill White has presided over the construction of what may be the world's largest abortion clinic.""",Republican Party of Texas,0
12875,"""What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.""",Jeb Hensarling,0
12876,"Obama came into office ""with a $1.3 trillion deficit before I had passed any law. ... We came in with $8 trillion worth of debt over the next decade.""",Barack Obama,1
12877,"""Mr. President, multiple times from your administration there have come statements that Republicans have no ideas and no solutions"" on health care.",Tom Price,1
12878,"""I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months.""",Charlie Crist,1
12880,"The president's health care proposals will cause ""most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.""",Nancy Pfotenhauer,0
12881,"""President Obama's proposed 'spending freeze' will only reduce the $42 trillion in government spending proposed between 2011 and 2020 by little more than one-half of 1 percent.""",John Boehner,1
12882,"""Inequality in Texas is steadily getting worse, with very few rich people, a great many poor people, and fewer and fewer in the middle.""",Ronnie Earle,1
12883,"""President Obama pledged to go through the budget 'line by line,' but on his watch, non-defense spending has spiraled out of control, increasing by 67 percent in the last year alone.""",John Boehner,0
12884,"""A majority of Americans still oppose this health care bill.""",John Boehner,1
12886,"""Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.""",Bob McDonnell,1
12887,"""We cut taxes for 95 percent of working families.""",Barack Obama,1
12888,"""Last week, the Supreme Court reversed a century of law that I believe will open the floodgates for special interests – including foreign corporations – to spend without limit in our elections.""",Barack Obama,0
12889,"""At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.""",Barack Obama,1
12890,"""We've excluded lobbyists from policymaking jobs.""",Barack Obama,0
12893,"""For the first time in history, my administration posts our White House visitors online.""",Barack Obama,1
12895,U.S. Sen. Kay Bailey Hutchison “voted to continue Roe v. Wade.”,Rick Perry,1
12896,U.S. Sen. Kay Bailey Hutchison “has voted nine separate times to raise the national debt ceiling.”,Rick Perry,1
12897,"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""",John Boehner,1
12898,"""We have over 300 state agencies. Forty-five of those agencies are related to health care.""",Kay Bailey Hutchison,0
12899,"""Right now the Tea Party polls higher than the Republicans and the Democrats.""",Dick Armey,0
12900,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",Carolyn Maloney,1
12901,"""With a stroke of a pen, the (U.S. Supreme Court) decided to overrule the 100-year-old ban on corporate expenditures.""",Charles Schumer,0
12903,"""As long as I have served . . . This is the first time  every single solitary decision has required 60 senators.""",Joe Biden,0
12904,"Members of Congress passed a pay raise for themselves of $10,000 over two years even as they voted not to raise Social Security benefits for 2010 and 2011.",Chain email,0
12905,"""The Texas Department of Transportation... misplaced a billion dollars.""",Debra Medina,1
12906,"“The largest tax increase that we have ever had in our state is yours – it is the business margins tax that you signed, governor.”",Kay Bailey Hutchison,0
12907,"The Democrats' health care bills would provide ""free health care for illegal immigrants.""",Chain email,0
12908,"The House health care bill provides for ""free abortion services, and probably forced participation in abortions by members of the medical profession.""",Chain email,0
12909,"There are ""high administrative costs"" when you donate to Haiti relief through the White House Web site.",Rush Limbaugh,0
12910,"In Massachusetts, Scott Brown's Republican affiliation is ""not a secret, but clearly not on display.""",Kelly O'Donnell,1
12911,"""The Washington Times ... pointed out that we had succeeded where previous administrations had failed"" on spending cuts.",Barack Obama,1
12912,"""The No. 1 issue that the American people care about is getting America back to work.""",John Cornyn,1
12913,"Health care reform: ""Everything about it is going to raise costs, raise taxes and lower the quality of health care.""",Kay Bailey Hutchison,0
12914,"""Most Texans aren't millionaires.""",Linda Chavez-Thompson,1
12915,"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th.",Glenn Beck,0
12918,"""The Trans-Texas Corridor is dead.""",Rick Perry,1
12919,"""Close to half of the folks in this country illegally entered legally (but) overstayed (their ) visas.""",Marco Rubio,1
12920,Obama's job approval rating is up.,Donna Brazile,1
12923,"When President Bush took office in 2001, he inherited a $236 billion budget surplus, with a projected 10-year surplus of $5.6 trillion. When he ended his term, he left a $1.3 trillion deficit and a projected 10-year shortfall of $8 trillion.",David Axelrod,1
12924,Says Kay Bailey Hutchison voted for sanctuary cities.,Rick Perry,0
12925,"""We definitely lost way more jobs in Texas this year than we gained — we lost 300,000 jobs in Texas alone this year.""",Kay Bailey Hutchison,1
12926,"""No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle.""",Alex Sink,1
12927,Says Land Commissioner Jerry Patterson threatened to shoot him.,Hector Uribe,0
12928,"Says Rick Perry's ""Pay to Play"" politics led him to send $899 million to an offshore call center in Bermuda, driving down enrollment in children's health insurance",Texas Democratic Party,0
12929,"""Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.""",Rick Perry,0
12930,"During his tenure as mayor, he ""saw Houston’s crime rates drop to the lowest levels in more than 25 years.""",Bill White,1
12931,"""More than 1,000 people ... move to Texas every day.""",Rick Perry,1
12932,"A recent Obama executive order could ""lead to a number of investigations by Interpol in the United States, potentially aimed at American officials.""",Newt Gingrich,0
12933,"""A number of the national publications have put this race in a tossup race between Democrats and Republicans. They don't know who's going to win this race.""",Kendrick Meek,0
12934,"""The attorney general requires that rape victims pay for the rape kit.""",Barbara Ann Radnofsky,0
12935,"Says she has ""quadrupled agents to secure our border.""",Kay Bailey Hutchison,0
12936,Says approximately 70 percent of jobs created in the United States in November 2007-2008 were in Texas.,Rick Perry,0
12938,Says Bill White is for gay marriage.,Republican Party of Texas,0
12939,“Illegal immigrants currently occupy 8 million jobs.”,Lamar Smith,1
12941,"""Texas is LAST (50th) in spending for mental health care.""",Marc Katz,1
12942,"""Why is January 8th an important date in American history? This day in 1835 is the only day in our history when we have not been in debt.""",George LeMieux,1
12943,"""We had no domestic attacks under Bush.""",Rudy Giuliani,0
12945,"""I haven't missed a vote since 1993.""",Chuck Grassley,1
12946,"""President Obama has broken his pledge to the American people to be transparent throughout (health care reform negotiations).""",Charlie Crist,1
12947,"""Americans admire Glenn Beck more than they admire the pope.""",Dana Milbank,0
12948,"President Obama ""doesn't ... want to admit we're at war.""",Dick Cheney,0
12949,"""In Florida, Sen. Bill Nelson ... got a $25 billion to $30 billion carve-out for Medicare Advantage patients in their state.""",Karl Rove,0
12950,"A Medicaid provision added to the Senate health care reform bill ""is not a special deal for Nebraska.""",Ben Nelson,0
12951,"""I didn't campaign on a public option.""",Barack Obama,0
12952,"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.""",Charlie Crist,1
12955,"President Obama has ""the worst ratings of any president at the end of his first year.""",Karl Rove,1
12956,"""Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.""",Tom Harkin,0
12958,"The Climatic Research Unit e-mails show that the science behind climate change ""has been pretty well debunked.""",James Inhofe,0
12959,"""President Obama's proposal calls for serious cuts in our own long-term carbon emissions,"" but China and India will still be allowed to increase their emissions.",Sarah Palin,1
12960,"A recent drop in the unemployment rate is questionable because it was calculated ""over two days of the Thanksgiving week.""",Rush Limbaugh,0
12961,"The ""post-Soviet industrial meltdown is responsible for most of the progress in reducing carbon emissions that Europe is able to claim.""",Eugene Robinson,1
12963,"""I'm predicting (the Saints) will go not only undefeated, but all the way through the Super Bowl -- something that's never been done before.""",Bobby Jindal,0
12964,"Labor union president Andy Stern is ""the most frequent visitor"" at the White House.",Glenn Beck,0
12965,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",Barack Obama,0
12966,"""In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.""",Alan Grayson,0
12967,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",John Murtha,0
12968,"""In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.""",Barack Obama,1
12969,"Less than 10 percent of Obama's Cabinet appointees ""have any experience in the private sector.""",Glenn Beck,0
12970,The Senate health care bill does not contain limits on medical malpractice lawsuits.,Mitch McConnell,1
12971,"Under the Democratic health plan, families ""will be forced to spend an additional $2,100 a year to keep their current health care.""",Mike Pence,0
12974,"""If you want to talk firsts for Bush, this was the first time in American history that a president took us into a war and cut taxes.""",Paul Krugman,1
12975,"""The Congressional Budget Office -- supposedly non-partisan -- estimates that in just a few years the average cost to every family of four (from cap and trade) will be $6,800 per year.""",Chain email,0
12976,"""Ninety-eight percent of the American people will not see their taxes go up"" due to the House health care bill.",Ed Schultz,0
12977,"""I have never voted for a tax increase.""",Marco Rubio,0
12978,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""",Chain email,0
12979,"""Although Democrats represent only 10 of Florida's 25 districts, their districts received 60 percent of the stimulus funds.""",Jeff Miller,0
12980,"Recovery.gov listed congressional districts that ""do not exist.""",Jeff Miller,1
12981,"Under the cap-and-trade bill, homes would have to be retrofitted to meet energy and water efficiency standards before they could be sold.",Chain email,0
12982,"Senate health care legislation will ""levy a new 'abortion premium' fee on  Americans in the government-run plan.""",John Boehner,0
12983,"The Senate health care bill ""would leave 24 million people without insurance coverage.""",Mike Enzi,1
12984,"If you look at last year's presidential campaign, ""you can't find a mention of public option.""",Joe Lieberman,1
12985,The Senate health care bill is longer than Tolstoy's 'War and Peace.',Orrin Hatch,0
12987,"Obama has ""visited more countries and met with more world leaders than any president in his first six months in office.""",Chain email,1
12988,52 jobs have been saved or created in Florida's 34th Congressional District.,Recovery.gov,0
12989,"A small business receiving a federal tax credit ""to provide health care for its employees ... would be barred under the Stupak Amendment from allowing their employees to use ... the health care that they offer them for abortion.""",Ed Rendell,0
12990,"In the House health care bill, ""Something like 2 percent of the people would [be] eligible even to get the public option.""",Ron Wyden,0
12992,"""Ronald Reagan faced an even worse recession"" than the current one.",Sarah Palin,0
12993,"The McCain campaign ""did not elaborate"" on Obama's ties to ACORN.",Sarah Palin,0
12995,"Obama has admitted a cap and trade plan would cause electricity bills to ""skyrocket.""",Sarah Palin,1
12996,"Says she couldn't take  stimulus money because it required ""universal building codes.""",Sarah Palin,0
12997,"""The Stupak Amendment doesn't just say you can't use your federal insurance subsidy to pay for an abortion, it says, if you're getting a federal subsidy of any kind, you're not allowed to buy an insurance plan that covers abortion even with your own money.""",Rachel Maddow,0
12998,"Under the House health care bill, the government ""will have to penalize citizens if we choose not to buy a plan that will cost a minimum of about $15,000 per family per year.""",Sarah Palin,0
12999,"Maj. Nidal Hasan, the man accused of the Fort Hood shootings, ""was an ADVISOR to the Obama Administration.""",Chain email,0
13001,"""In the health care bill, we're now offering insurance for dogs.""",Glenn Beck,0
13004,The House of Representatives does not have a prochoice majority.,Loretta Sanchez,1
13005,"""Barack Obama won't even use the term 'war on terrorism.'""",Sean Hannity,1
13006,Guantanamo Bay detainees will get the H1N1 vaccine.,Sean Hannity,1
13007,"Claims that Obama said, ""For those who oppose our policies, you should just shut up and go away.""",C.W. Bill Young,0
13008,"""I signed the largest single tax cut in the history of Florida, a $25 billion tax cut over five years, directed at property tax cuts.""",Charlie Crist,0
13009,"""President Obama campaigned on a promise to put reproductive health care at the center of his reform plan.""",Planned Parenthood,1
13010,"""Mitt Romney ... gave you government health care that is now bankrupting the state"" of Massachusetts.",Glenn Beck,0
13011,"An amendment to the House health reform bill ""puts new restrictions on women's access to abortion coverage in the private health insurance market even when they would pay premiums with their own money.""",Nita Lowey,0
13012,Women pay 48 percent more for health insurance.,Louise Slaughter,0
13013,"""History tells us that job growth always lags behind economic growth.""",Barack Obama,1
13016,"The Republicans' alternative health care plan ""will still let insurers raise premiums four times faster than wages.""",Americans United for Change,0
13017,"""I didn't endorse"" the federal stimulus bill.",Charlie Crist,0
13018,"The GOP health care plan ""would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition.""",Debbie Wasserman Schultz,1
13019,"Health care reform ""establishes a new board of federal bureaucrats (the 'Health Benefits Advisory Committee') to dictate the health plans that all individuals must purchase.""",House Republican Conference,0
13023,"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain.""",Michele Bachmann,0
13024,"Three presidents in the last century — Harding, Kennedy and Reagan — all cut taxes during recessions and produced ""rapid and dramatic economic recoveries,"" while two, Herbert Hoover and Barack Obama, did ""the opposite.""",Tom  McClintock,0
13025,"Sen. Joe Lieberman's ""home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor.""",Keith Olbermann,1
13026,There is majority support for the Democrats' health care plans.,Valerie Jarrett,0
13027,You must list all your guns on your 2010 tax return.,Chain email,0
13028,"""One-third of the health care dollar goes to no such thing as health care; it goes to the insurance companies.""",Patrick Kennedy,0
13031,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",Ginny Brown-Waite,0
13032,"A new federal program provides subsidized ""Obama phones"" with 70 free minutes of cell phone service every month.",Chain email,0
13033,"""Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.""",John Boehner,0
13034,"When White House communications director Anita Dunn said that Mao Tse-tung was ""one of her favorite philosophers, only Fox News picked that up.""",Bill O'Reilly,0
13035,"""For the last decade the climate has been cooling.""",Mary Matalin,0
13036,"""President Bush never did one interview with the New York Times during his entire presidency.""",Rachel Maddow,0
13037,"Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy.""",Bloggers,0
13038,"A ""fairly limited number of people, 25 million to 30 million,"" will be allowed to access a national health insurance exchange.",Claire McCaskill,1
13039,"""Here in Florida, I’ve slashed government by 10 percent. That's $7 billion.""",Charlie Crist,0
13040,"A request for ""an increase in troops sat on desks in this White House (during the presidency of George W. Bush), including the vice president's, for more than eight months, a resource request filled by President Obama in March.""",Robert Gibbs,1
13041,"The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities ""at the last minute in midnight phone calls.""",Dick Cheney,1
13042,"""Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month.""",Charlie Crist,0
13043,"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties.""",Senior Citizens League,0
13046,"The proposed excise tax on ""Cadillac"" health plans will hit ""those making less than $200,000"" the hardest.",Sarah Palin,1
13047,"Health proposal would create a ""40% tax on health care benefits of middle-class workers.""",Health Care for America Now,0
13048,"If President Obama signs the Copenhagen climate change treaty, he ""will sign your freedom, your democracy, and your prosperity away forever — and neither you nor any subsequent government you may elect would have any power whatsoever to take it back again.""",Christopher Monckton,0
13049,"The Baucus health care bill ""could be used to ban guns in home self-defense.""",Gun Owners of America,0
13051,"U.S. taxpayers paid $71,500 per job created by the stimulus bill.",Lou Dobbs,1
13052,"""The Senate Finance Committee approved a reform proposal that has both Democratic and Republican support.""",Barack Obama,0
13053,"""Only 20 percent of Americans admit to being Republicans anymore.""",Democratic National Committee,1
13056,"Forty-five percent of doctors ""say they'll quit"" if health care reform passes.",Glenn Beck,0
13057,"An Iowa policy ""provides for a state round up of Iowa citizens who might be exposed to the swine flu virus.""",Chain email,0
13058,"The Obama White House is renaming Christmas trees ""holiday trees.""",Chain email,0
13059,"""You don't know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s.""",Glenn Beck,0
13060,"A report by the health insurance industry ""ignores some of the key policies that are part of the Senate Finance Committee bill.""",Nancy-Ann DeParle,1
13061,"""Baseball and insurance are the only industries exempt from antitrust laws.""",Americans United for Change,0
13062,"Other Western countries have ended their ""Don't Ask, Don't Tell"" policies.",Carl Levin,1
13063,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",John Kline,0
13064,"The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.",Bloggers,1
13065,"About 750,000 people die in China each year from auto emissions.",Nancy  Pelosi,0
13066,"During the Reagan administration, ""Millions of people were thrown out of work.""",Michael Moore,0
13067,"During the Reagan era, while productivity increased, ""wages for working people remained frozen.""",Michael Moore,1
13068,Health care premiums for consumers have doubled since 2001.,Jay Rockefeller,1
13070,"""Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.""",PlantsNeedCO2.org,0
13071,"Forty percent of gross domestic product ""is state, local, or federal money.""",Cokie Roberts,1
13072,"During the Reagan era, ""the richest Americans had their top income tax rate cut in half.""",Michael Moore,1
13073,"The cap-and-trade bill will mean ""2 million jobs lost.""",EnergyCitizens.org,0
13074,"""There's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed.""",Barney Bishop,0
